0	5454	1385856000
0	0	1400630400
0	1344	1400630400
0	2023	1400630400
0	2024	1400630400
0	2263	1400630400
0	4361	1400630400
1	791	1371600000
1	4361	1372636800
1	7293	1372636800
2	0	1403740800
2	2829	1403740800
2	3703	1403740800
2	3937	1403740800
2	5454	1403740800
3	0	1382313600
3	4114	1383004800
3	9286	1383436800
3	1912	1388102400
4	0	1359849600
4	1192	1359849600
4	1576	1359849600
4	2083	1359849600
4	3121	1359849600
4	3344	1359849600
4	3359	1359849600
4	3916	1359849600
4	4052	1359849600
4	4087	1359849600
4	4361	1359849600
4	5421	1359849600
4	5459	1359849600
4	3686	1365552000
4	4591	1365552000
4	4608	1365552000
5	2484	1371254400
5	3419	1371254400
5	4361	1371254400
5	5535	1371254400
5	6468	1371254400
5	3740	1373068800
5	4433	1373068800
5	4591	1373068800
5	4608	1373068800
5	5690	1373068800
5	9703	1373068800
5	0	1381536000
5	1674	1381536000
5	2678	1381536000
6	2637	1358467200
6	4019	1358467200
6	4230	1358467200
7	1	1384992000
7	637	1395014400
7	2993	1398816000
7	7945	1398816000
8	1	1380067200
8	12	1398211200
8	13	1398297600
8	10	1399939200
9	1	1396483200
9	12	1398038400
9	13	1398038400
9	10	1399680000
10	1	1397347200
10	13	1397347200
10	10	1403481600
11	4708	1356480000
11	4881	1356480000
11	5355	1356480000
12	1	1386201600
12	10	1396569600
12	12	1397347200
13	1	1380240000
13	13	1397174400
13	12	1397779200
13	10	1399507200
14	1	1392940800
14	10	1398902400
14	12	1398902400
14	13	1398988800
15	1	1397779200
15	10	1397779200
15	12	1397779200
15	13	1397779200
16	1	1377388800
16	13	1397606400
16	10	1399507200
17	6075	1353888000
17	6851	1353888000
17	5099	1353974400
18	2	1348012800
18	2222	1359331200
18	2473	1359331200
18	4294	1359331200
18	8752	1386633600
18	6962	1388102400
18	5170	1389139200
18	9498	1400025600
18	6711	1402617600
18	9605	1402617600
19	5006	1357516800
19	3176	1364947200
19	2	1369785600
19	342	1369785600
19	1344	1369785600
20	3996	1343174400
20	5184	1370563200
20	1491	1377648000
20	5563	1377648000
20	2	1402012800
21	342	1355443200
21	3408	1355443200
21	82	1363910400
21	1235	1363910400
21	9014	1377129600
21	1674	1377734400
21	2	1385683200
22	703	1335225600
22	2	1368835200
22	5067	1368835200
23	4386	1338336000
23	4338	1354752000
23	2	1402185600
24	5549	1387411200
24	5628	1387411200
24	5635	1387411200
24	9402	1387411200
24	2	1389398400
24	1953	1389398400
24	5526	1389398400
24	7758	1389398400
24	5581	1393027200
25	2	1379721600
25	1891	1379721600
25	6119	1379721600
26	647	1246147200
26	648	1246147200
26	1071	1293926400
26	7411	1378339200
26	8092	1378339200
26	2	1403481600
27	2	1363737600
27	2239	1363737600
27	2848	1402704000
27	3484	1402704000
28	8250	1395187200
28	2	1404345600
28	7695	1404345600
29	6055	1350691200
29	4592	1355011200
29	4593	1355184000
29	1078	1355961600
30	87	1229904000
30	3563	1354838400
30	2	1384041600
31	4434	1356825600
